Url,ID,Nombre,Año,País,Región,Bodega,Tipo de vino,Uva,Precio,Valoración,Contenido de alcohol,Maridajes,Ligero/Poderoso,Débil/Ácido,Amable/Con Burbujas,Taste_Notes_1_1,Taste_Notes_1_2,Taste_Notes_1_3,Taste_Notes_2_1,Taste_Notes_2_2,Taste_Notes_2_3,Taste_Notes_3_1,Taste_Notes_3_2,Taste_Notes_3_3
https://www.vivino.com/ES/es/borgo-imperiale-sangue-di-giuda/w/3105767,3105767,Sangue di GiudaN.V.,No disponible,Italia,Oltrepò Pavese,Borgo Imperiale,Vino espumoso,"Croatina, Uva Rara, Barbera",7.85,4.0,No disponible,"Aperitivos y tentempiés, Aperitivo",2.2,2.4,7.2,frambuesa,casis,polvo de vainilla,ciruela roja,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/sumarroca-cava-ya-cuvee-23-brut-reserva/w/2327051,2327051,Cava Yà Cuvée 23 Brut Reserva,No disponible,España,Cava,Sumarroca,Vino espumoso,"Macabeo, Xarel-lo, Parellada",10.14,4.0,5,"Marisco, Aperitivos y tentempiés, Pescado blanco, Aperitivo, Carne adobada",3.8,6.0,6.5,pimienta verde,piedra,drupa,cítrico,limón,limón,piedra,sal,minerales
https://www.vivino.com/ES/es/roeno-muller-thurgau-frizzante/w/1691621,1691621,Müller Thurgau Frizzante,No disponible,Italia,Véneto,Roeno,Vino espumoso,Müller-Thurgau,13.76,3.3,5,"Aperitivos y tentempiés, Aperitivo",4.0,4.0,6.5,cítrico,limón,polvo de vainilla,crema,polvo de vainilla,polvo de vainilla,almendra,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/floriano-cinti-barbera-frizzante/w/1854842,1854842,Barbera Frizzante,No disponible,Italia,Colli Bolognesi,Floriano Cinti,Vino espumoso,Barbera,12.24,No disponible,No disponible,"Aperitivos y tentempiés, Aperitivo",4.0,4.0,6.5,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/zucchi-lambrusco-di-sorbara-infondo/w/9348441,9348441,Lambrusco di Sorbara Infondo,No disponible,Italia,Lambrusco di Sorbara,Zucchi,Vino espumoso,Lambrusco,19.09,3.8,5,"Queso curado, Carne adobada",3.8,4.3,7.8,frutos rojos,fresa,polvo de vainilla,minerales,solución salina,polvo de vainilla,chocolate,vainilla,polvo de vainilla
https://www.vivino.com/ES/es/la-tordera-otreval-brut/w/1444653,1444653,Otreval Brut,No disponible,Italia,Véneto,La Tordera,Vino espumoso,"Verdiso, Glera",25.84,3.6,12,"Aperitivos y tentempiés, Aperitivo",4.0,4.0,6.5,menta,piedra,polvo de vainilla,cítrico,polvo de vainilla,polvo de vainilla,pizarra,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/cantina-di-soliera-lambrusco-di-sorbara-secco/w/4559171,4559171,Lambrusco di Sorbara Secco,No disponible,Italia,Lambrusco di Sorbara,Cantina di Soliera,Vino espumoso,Lambrusco,8.05,3.5,11,"Queso curado, Carne adobada",3.7,3.7,7.9,fresa,cereza,arándano,queso,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/corte-manzini-secco/w/1275626,1275626,Secco,No disponible,Italia,Lambrusco Grasparossa di Castelvetro,Corte Manzini,Vino espumoso,Lambrusco,12.02,3.5,11,"Queso curado, Carne adobada",4.4,3.4,7.7,casis,polvo de vainilla,polvo de vainilla,cereza,polvo de vainilla,polvo de vainilla,humo,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/casal-farneto-verdicchio-dei-castelli-di-jesi-spumante-brut/w/2983330,2983330,Verdicchio dei Castelli di Jesi Brut,No disponible,Italia,Verdicchio dei Castelli di Jesi,Casal Farneto,Vino espumoso,Verdicchio,11.92,3.4,No disponible,"Aperitivos y tentempiés, Aperitivo",4.0,4.0,6.5,vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla,polvo de vainilla
https://www.vivino.com/ES/es/ca-bianca-moscato-d-asti/w/1142675,1142675,Moscato d'Asti,No disponible,Italia,Moscato d'Asti,Tenimenti Ca'Bianca,Vino espumoso,Moscato,10.95,4.0,5,"Postres de frutas, Aperitivo",2.7,3.2,0.0,menta,pomelo,piedra,minerales,minerales,trufa,limón,cítrico,limón
