0,1,2,3,4,5,6,7,8,ID
ciruela,fruta negra,rosa seca,cedro,roble,chocolate,cereza,frambuesa,fruta seca,1834632
tabaco dulce,vainilla,,frutos del bosque,arándano,,cereza,,,2116813
roble,tabaco,cedro,terroso,cuero,humo,casis,mora,frutos del bosque,1675434
roble,chocolate,vainilla,ciruela,mora,fruta negra,cuero,terroso,humo,13371
cacao,terroso,carne asada,cereza,arándano rojo, ,mora,frutos del bosque,,7383505
terroso,suelo del bosque,,roble,,,ciruela pasa,,,1879204
hongo,terroso,,cereza,frambuesa,ciruela,mora,,,6232586
mora,ciruela,mermelada,regaliz,menta,ajedrea,mezcla de especias para vino caliente,,,8436799
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,10958965
fresa,frambuesa,frutos rojos,humo,terroso,minerales,regaliz,pimienta,pimiento,1261039
mora,ciruela,fruta negra,pimienta,pimienta blanca,,cereza,frutos rojos,,2107258
roble,vainilla,cedro,mora,fruta negra,casis,cuero,terroso,hongo,18799
roble,chocolate,vainilla,cereza,frambuesa,cereza,ciruela,mora,cereza Bing,7395823
roble,tabaco,vainilla,cuero,terroso,grafito,mora,fruta negra,cereza,1219699
fruta negra,mora,frambuesa,roble,vainilla,caramelo,frutos rojos,cereza,rosa seca,9497762
caramelo,chocolate,roble,terroso,cuero,humo,frutos del bosque,,,7105940
cereza,arándano rojo, ,mora,casis,cereza negra,regaliz,almizcle,,1881912
cuero,terroso,minerales,tabaco,roble,clavo de olor,ciruela,casis,cereza,1179465
mora,cereza negra,ciruela,cuero,terroso,hongo,pimienta blanca,pimiento,,1181447
cereza,frutos rojos,tofi,terroso,cuero,minerales,roble,vainilla,tabaco,1123194
roble,tabaco,vainilla,cuero,aceite balsámico,,cereza,cereza roja,fresa,1420652
fruta negra,casis,cuero,vainilla,roble,chocolate,cuero,terroso,minerales,2475833
cuero,terroso,minerales,cereza,frutos rojos,tofi,roble,tabaco,clavo de olor,79640
tabaco,vainilla,chocolate,cuero,terroso,suelo del bosque,cereza negra,mora,casis,1101307
frutos rojos,cereza,nuez negra,pimienta,,,chocolate,tabaco,,1150701
casis,fruta negra,ciruela,roble,vainilla,tabaco,cuero,terroso,humo,1211200
cereza,frutos rojos,,aceite balsámico,cuero,,tostada,,,1546843
cereza,frutos rojos,tofi,terroso,cuero,hongo,roble,tabaco,vainilla,2620585
arándano rojo,cereza, ,terroso,cuero,suelo del bosque,roble,chocolate,vainilla,2877909
aceite balsámico,terroso,,cereza,frutos rojos,tofi,frutos del bosque,casis,,1696434
roble,tabaco,vainilla,frutos rojos,fresa,cuero,frutos del bosque,mora,,1192767
cereza,frambuesa,fruta seca,terroso,cuero,minerales,ciruela,mora,casis,1223680
naranja,,,polvo de vainilla,,,polvo de vainilla,,,10536094
roble,vainilla,,cereza,,,polvo de vainilla,,,10918470
roble,vainilla,tabaco,cuero,terroso,humo,cereza,frutos rojos,tofi,1145899
cereza,frutos rojos,rosa seca,cuero,terroso,alquitrán,roble,tabaco,cedro,5666325
roble,vainilla,tabaco,mora,ciruela,fruta negra,cereza,frutos rojos,tofi,72634
romero,menta,eucalipto,vainilla,roble,chocolate,cereza,frambuesa,cereza,1784146
mora,,,cuero,,,fresa madura,,,9662418
grosella roja,cereza, ,ceniza,terroso,minerales,chocolate,roble,vainilla,5850200
roble,tabaco,vainilla,heno,hierbas,,frutos rojos,,,7436539
cereza,grosella roja,,vainilla,roble,,cacao,cuero,humo,2005984
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,3810641
mora,casis,ciruela,cereza,frambuesa,,humo,trufa negra,carne,2013852
frutos rojos,,,canela,,,terroso,,,2580005
mora,cereza negra,frambuesa,cuero,humo,,roble,tabaco,clavo de olor,8122074
cereza,frambuesa,arándano,roble,clavo de olor,uva,ciruela,cereza negra, ,779238
tomillo,,,cereza,,,ciruela,,,1824076
roble,vainilla,tabaco,ciruela,cereza negra, ,arándano rojo,fresa,,1984066
suelo del bosque,carne,,casis,mermelada,,mezcla de especias para vino caliente,,,7783134
terroso,hongo,minerales,mora,mermelada de mora,,fresa,cereza,frutos rojos,1239077
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11777262
cereza negra,mora,casis,vainilla,mantequilla,,frambuesa,cereza roja,,1728951
cuero,terroso,alquitrán,tabaco,roble,vainilla,cereza,frutos rojos,rosa seca,1203251
cereza,frambuesa,arándano,cuero,terroso,cacao,roble,tabaco,mermelada,1523831
vainilla,chocolate,café,higo seco,tostada,,cereza,frambuesa,fruta seca,1586861
