0,1,2,3,4,5,6,7,8,ID
cereza,,,carne a la parrilla,,,roble,,,6781397
cereza,fresa,grosella roja,cítrico,naranja,,vainilla,roble,bebida cola,9463375
mora,ciruela,cereza Bing,vainilla,tabaco,caramelo,cuero,terroso,humo,8842875
roble,vainilla,tabaco,cereza,frambuesa,fruta seca,cuero,terroso,humo,12463
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,2246843
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,1411333
mora,ciruela,fruta negra,cereza,frambuesa,fresa,regaliz,pimienta,hinojo,1227805
cereza,frutos rojos,tofi,roble,tabaco dulce,café,pimienta,canela,mentol,1165264
roble,vainilla,chocolate,ciruela,mora,fruta negra,cereza,frutos rojos,tofi,13842
roble,vainilla,chocolate,mora,ciruela,casis,cereza,frutos rojos,tofi,1152010
mora,frutos del bosque,,roble,vainilla,tabaco,cuero,terroso,humo,4781495
cereza,frutos rojos,tofi,terroso,cacao,cuero,ciruela,frambuesa,cereza,2711204
cuero,,,polvo de vainilla,,,polvo de vainilla,,,1907850
terroso,piedra,,drupa,,,polvo de vainilla,,,1728040
chocolate,café,nuez negra,cereza,frutos rojos,tofi,mora,casis,frutos del bosque,10851641
ciruela,mora,casis,cereza,fresa,frutos rojos,pimienta,anís,anís,1372756
mora,ciruela,casis,roble,chocolate,vainilla,minerales,cuero,humo,2570956
cereza,frutos rojos,tofi,ciruela,mora,frutos rojos,roble,tofi,clavo de olor,1277719
cereza,fresa,frambuesa,terroso,cuero,hongo,roble,mantequilla,canela,1187395
fresa,cereza,frutos rojos,cuero,terroso,humo,roble,tabaco,chocolate,1467541
arándano rojo,cereza, ,hierbas secas,regaliz,,minerales,terroso,jengibre,4676926
terroso,cuero,,frambuesa,cereza,,roble,vainilla,,1281759
cereza negra,fruta negra,,frambuesa,,,chocolate amargo,chocolate,,1238755
vainilla,cedro,roble,cereza,,,zarzamora,casis,,4737243
frambuesa,frutos rojos,,mermelada,ciruela,mora,terroso,cuero,minerales,1177279
ciruela,mora,fruta negra,roble,chocolate,vainilla,terroso,cuero,humo,6089435
terroso,minerales,minerales,arándano,mora,ciruela,cereza,fresa,granada,3742074
arándano,ciruela,,cereza,,,polvo de vainilla,,,8299459
arándano,ciruela,mora,roble,tabaco,clavo de olor,cuero,hongo,,9108703
cacao,terroso,,fruta negra,,,chocolate amargo,,,7923306
cereza,frambuesa,fresa,roble,vainilla,tabaco,mora,ciruela,arándano,1215674
cereza,frutos rojos,uva,mora,ciruela,casis,terroso,cuero,humo,5008625
cereza,frutos rojos,tofi,vainilla,,,polvo de vainilla,,,5775474
cereza,fresa madura,,ciruela,,,arándano rojo deshidratado,,,6914050
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11937435
grafito,hierro,,frambuesa,fresa,,cereza negra,,,9525141
cereza,frutos rojos,tofi,ciruela,cereza negra, ,roble,chocolate,vainilla,97216
fresa,cereza,frutos rojos,casis,arándano,ciruela,terroso,cuero,humo,1964997
frutos rojos,cereza,rosa seca,caramelo,clavo de olor,,clavo de olor,hierbas,,9559604
ciruela,mora,cereza Bing,cereza,frutos rojos,uva,cuero,humo,aceite balsámico,8716276
cereza,,,polvo de vainilla,,,polvo de vainilla,,,9328326
ciruela,mora,arándano,chocolate,roble,vainilla,cereza,frutos rojos,rosa seca,3989467
cuero,terroso,humo,mora,ciruela,cereza Bing,tabaco,roble,chocolate,1206927
roble,vainilla,,cereza,frutos rojos,,pimienta,,,4781798
terroso,carne adobada,,queso,,,vainilla,,,6945814
roble,chocolate,vainilla,frambuesa,cereza,fruta seca,ciruela,mora,frutos rojos,94971
vainilla,roble,chocolate,ciruela,mora,mermelada,cereza,frutos rojos,tofi,5418700
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,1192016
cereza,frambuesa,cereza,chocolate,tabaco,vainilla,aceite balsámico,cuero,,6715991
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,2268856
mora,arándano,ciruela,roble,vainilla,chocolate,cereza,fresa,frambuesa,19437
vainilla,roble,tabaco,ciruela,mora,cereza Bing,cuero,terroso,humo,1710574
cereza negra,ciruela, ,terroso,cuero,hierro,chocolate,vainilla,cuero,96034
roble,cedro,chocolate,casis,mora,ciruela,cacao,cuero,suelo del bosque,2243136
fresa,cereza,frutos rojos,mermelada,cereza negra,,roble,café,,8783815
cereza,fresa,frambuesa,terroso,humo,hongo,ciruela,cereza negra, ,4362333
cereza,frutos rojos,tofi,mezcla de especias para vino caliente,,,cuero,cacao,terroso,1161490
pimienta,canela,anís,terroso,cuero,minerales,mantequilla,clavo de olor,,16758
cereza,frambuesa,cereza,ciruela,arándano,mulberry,canela,pimienta,anís,14665
arándano rojo,cereza, ,cuero,minerales,,polvo de vainilla,,,7388735
ciruela,fruta negra,,terroso,sal,,arándano rojo,cereza roja,,6815089
frutos rojos,frambuesa,,terroso,humo,cuero,roble,tabaco,vainilla,6514221
tabaco,vainilla,roble,mora,ciruela,arándano,aceite balsámico,cuero,,1182418
vainilla,roble,chocolate,cereza negra,ciruela, ,cuero,humo,terroso,6332143
casis,mora,ciruela,cereza,guinda,frambuesa,regaliz,canela,pimiento,7164706
cereza,fresa,frutos rojos,ciruela,mora,frutos rojos,cuero,terroso,humo,1144970
frutos rojos,cereza,,mora,ciruela,,virutas,,,8519863
frutos rojos,cereza,,pimienta,,,terroso,cuero,,5479735
roble,vainilla,café,mora,casis,ciruela,cuero,terroso,humo,1450016
cereza,fresa,frambuesa,vainilla,roble,tabaco,ajedrea,canela,regaliz,6732853
vainilla,roble,bebida cola,cereza,frutos rojos,tofi,ciruela,cereza negra, ,9894485
chocolate,vainilla,roble,fruta negra,mora,ciruela,frambuesa,frutos rojos,,1181593
cereza,frambuesa,arándano,eucalipto,hierbas,,roble,,,10686062
frambuesa,fresa,cereza,terroso,humo,,arándano,frutos del bosque,,1251782
sal,terroso,,pimienta,,,arándano rojo,,,7490059
roble,vainilla,chocolate,mora,ciruela,fruta negra,cereza,frutos rojos,tofi,1159184
mora,ciruela,cereza Bing,tabaco,chocolate,canela,cuero,terroso,suelo del bosque,5827100
mora,arándano,cereza,cereza,frambuesa,terroso,terroso,minerales,humo,1845955
roble,tabaco,vainilla,cuero,terroso,humo,ciruela,mora,casis,1235255
fruta negra,ciruela,mora,regaliz,pimienta,menta,terroso,cuero,humo,4211543
cereza,fresa,frambuesa,terroso,minerales,cuero,mora,fruta negra,mermelada,1295548
hierbas secas,mentol, ,roble,vainilla,cedro,mora,frutos del bosque,,2028407
cereza,frutos rojos,tofi,tiza,terroso,minerales,polvo de vainilla,,,2711091
cuero,humo,aceite balsámico,cereza,frambuesa,fruta seca,roble,tabaco,mermelada,1539254
frutos rojos,cereza,tofi,pimienta blanca,mentol,,mora,mulberry,ciruela,2684718
arándano,frutos del bosque,,roble,vainilla,chocolate,cereza,frambuesa,fruta seca,2610483
roble,vainilla,tabaco,cereza,frutos rojos,tofi,ciruela,mora,cereza Bing,1149321
cereza,fresa,frutos rojos,frutos del bosque,mora,,roble,vainilla,chocolate,1168468
cereza,frutos rojos,,fruta negra,,,regaliz,,,8561486
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,6870643
frutos del bosque,,,piedra,,,polvo de vainilla,,,5196586
roble,vainilla,chocolate,frutos rojos,cereza,nuez negra,cuero,terroso,aceite balsámico,5360156
cuero,minerales,humo,roble,,,polvo de vainilla,,,1250985
ciruela,mora,mermelada,trufa negra,terroso,,queso,,,1571257
cereza,fresa,frambuesa,roble,chocolate,tabaco,casis,frutos del bosque,,1445056
fruta negra,mora,arándano,cereza,,,terroso,,,2727716
cereza,fresa,frutos rojos,ciruela,mora,mermelada,roble,vainilla,tabaco,1711316
roble,chocolate,vainilla,mora,frutos del bosque,,humo,aceite balsámico, ,1596712
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,10825296
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,3790800
mora,,,cuero,,,polvo de vainilla,,,8582002
roble,vainilla,chocolate,fruta negra,mora,ciruela,frutos rojos,cereza,tofi,1552273
romero,tomillo,,tabaco dulce,,,vainilla,,,5130951
roble,vainilla,cedro,arándano,mora,frutos rojos,anís,regaliz,,1568998
roble,vainilla,tabaco,ciruela,mora,casis,cereza,frutos rojos,tofi,1478371
vainilla,caramelo,roble,cereza,frutos rojos,,mora,arándano,ciruela,6476854
ciruela,cereza negra,,tabaco,chocolate,chocolate,cereza,,,1496599
fruta negra,ciruela,mora,pimienta,hierbas secas,,cuero,piedra,,1357678
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,6832902
terroso,cuero,,cereza negra,,,tabaco,,,9891253
roble,chocolate,chocolate,cereza roja,cereza,uva,fruta negra,frutos del bosque,,3785357
roble,tabaco,,pimienta,,,queso,,,5129025
arándano rojo,frutos rojos,,fruta negra,ceniza,,pimienta,hierbas secas,,1360300
fruta negra,ciruela,uva,chocolate amargo,chocolate,,cereza,frutos rojos,tofi,2423146
roble,vainilla,chocolate,mora,casis,ciruela,cereza,frambuesa,fruta seca,1814122
clavo de olor,roble,uva,cereza,arándano rojo,,tostada,,,9899263
cereza,frutos rojos,tofi,frutos del bosque,mora,,cuero,terroso,,1613841
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,5239231
tabaco,roble,vainilla,cuero,terroso,piedra,fruta negra,ceniza,,2274547
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11880566
fresa salvaje,,,terroso,,,polvo de vainilla,,,2120776
mora,casis,cereza negra,chocolate,roble,,minerales,cuero,,2479476
cereza,cereza roja,,terroso,,,roble,vainilla,,1503045
cereza,granada,grosella roja,fruta negra,ciruela,uva,pimiento,ruibarbo,,4440202
roble,tabaco,cedro,terroso,cuero,virutas,casis,mora,cereza negra,1239768
frambuesa,cereza,terroso,chocolate,nuez moscada,,mora,,,2610309
mora,ciruela,fruta negra,cereza,frambuesa,fruta seca,cuero,terroso,minerales,1161753
mora,ciruela,cereza Bing,cuero,minerales,terroso,pimienta,caramelo,,4035992
fruta negra,casis,mora,frutos rojos,frambuesa,,cuero,minerales,hierro,1254827
mora,,,fruta seca,,,cereza roja,,,5972532
roble,chocolate,café,cuero,minerales,cacao,mora,frutos del bosque,,1950863
cacao,terroso,grafito,frambuesa,fresa madura,,chocolate amargo,,,1567138
cereza negra,mermelada,,café,chocolate amargo,,pasas de uva negras,uva pasa,,1665582
frambuesa,frutos rojos,,terroso,cuero,minerales,pimienta,canela,ajedrea,6170275
roble,chocolate,vainilla,mora,frutos del bosque,,cereza,frambuesa,granada,1213867
aceite balsámico,cuero,,tabaco dulce,vainilla,,regaliz,,,5529169
cereza roja,cereza,tofi,vainilla,roble,tabaco,terroso,suelo del bosque,,5017186
fruta negra,ciruela pasa,,roble,café,,cereza,frambuesa,fresa,7135034
mora,casis,ciruela,vainilla,chocolate,roble,pimienta,eucalipto,roble,2019739
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,2307728
eneldo,mentol,pimiento,aceite balsámico,cacao,,roble,caramelo,chocolate,1462903
roble,vainilla,caramelo,frutos rojos,frambuesa,,cereza negra,fruta negra,,1228534
roble,chocolate,vainilla,mora,ciruela,arándano,cereza,frutos rojos,tofi,1173628
roble,vainilla,tabaco,cuero,terroso,humo,mora,ciruela,frutos rojos,1843806
vainilla,roble,chocolate,cereza,frutos rojos,tofi,mora,fruta negra,arándano,4072
ajedrea,regaliz,pimiento,cereza,frutos rojos,tofi,vainilla,chocolate,café,1249295
ciruela,casis,fruta negra,roble,vainilla,tabaco,cereza,frambuesa,fresa,2540188
cuero,terroso,trufa,roble,vainilla,,pimienta,,,4035858
tomillo,anís,eucalipto,cereza,frambuesa,fruta seca,jalapeño,vainilla,,2854162
mora,frutos del bosque,,cereza,arándano rojo, ,roble,tabaco,vainilla,2128446
ciruela,mermelada,,frambuesa,,,roble,,,1205011
roble,,,frutos del bosque,ciruela,,cereza,arándano rojo, ,1913258
terroso,hongo,,frambuesa,fresa,,queso,crema,,2172736
roble,tabaco,vainilla,frutos rojos,cereza,uva pasa,cereza negra,fruta negra,,1201709
chocolate,vainilla,canela,cereza,cereza roja,carne,cuero,aceite balsámico,,2565682
vainilla,roble,tabaco,cereza,fresa,frambuesa,cuero,humo,terroso,1864840
mora,frutos del bosque,,pimienta molida,minerales,,cereza,fresa,,1803992
roble,chocolate,cacao,cereza,frutos rojos,tofi,ciruela,mermelada,,1298200
terroso,hongo,aceite balsámico,ciruela,mora,frutos rojos,roble,chocolate,cedro,1796991
roble,vainilla,cedro,frutos del bosque,fruta seca,,frambuesa,cereza,fruta seca,1389443
vainilla,café,chocolate,cuero,terroso,minerales,pimienta,anís,regaliz,1265597
roble,mantequilla,uva,frutos rojos,cereza,tofi,humo,cuero,hongo,3375348
roble,chocolate,tabaco,ciruela,mora,fruta negra,cereza,frutos rojos,tofi,5054959
arándano rojo,frambuesa,,polvo de vainilla,,,polvo de vainilla,,,1133969
cereza,granada,frutos rojos,mora,casis,,pimienta,trufa,pimiento,1127521
mora,ciruela,fruta negra,cuero,terroso,humo,roble,tabaco,cigarrera,6424457
fresa,frambuesa,frutos rojos,chocolate,vainilla,café,mora,arándano,casis,6432245
pimienta,tomillo,orégano,mora,fruta negra,mora,cereza,frambuesa,cereza,6614867
cereza,frutos rojos,tofi,tiza,cuero,terroso,tabaco,,,1527467
cereza,frambuesa,fruta seca,roble,tabaco,chocolate,cereza negra,mora,arándano,2043584
cereza,frambuesa,fresa,chocolate,bebida cola,,mora,ciruela,,7318154
vainilla,cedro,chocolate,fruta negra,mora,ciruela,cereza,,,1603893
cereza,,,cuero,,,polvo de vainilla,,,11009889
mora,fruta negra,mermelada,roble,clavo de olor,tofi,frambuesa,cereza,arándano,5699586
mora,fruta negra,boysenberry,pimienta de Jamaica,menta,,cereza,,,3684492
roble,chocolate,vainilla,mora,ciruela,casis,frambuesa,cereza,fruta seca,6475643
cereza,fresa,frutos rojos,roble,tabaco,chocolate,cuero,terroso,minerales,2233141
frutos rojos,,,roble,,,ciruela pasa,,,8338620
mora,fruta negra,ciruela,café,vainilla,roble,grafito,humo,suelo del bosque,1200932
roble,vainilla,tabaco,cereza,frambuesa,cereza,frutos del bosque,mora,,2345230
mantequilla,chocolate,,frambuesa,frutos rojos,,eucalipto,menta,,8185852
roble,chocolate,humo,humo,,,fruta negra,,,1207261
roble,cedro,nuez moscada,cereza,fresa,,cereza negra,mora,,5726850
roble,chocolate,tabaco,cereza,frutos rojos,tofi,terroso,cuero,minerales,1147901
frutos rojos,grosella roja,,terroso,,,cereza negra,mora,casis,778775
cuero,terroso,minerales,cereza,frutos rojos,nuez negra,ciruela,cereza negra, ,82681
mora,ciruela,fruta negra,chocolate amargo,tabaco,,cuero,hongo,humo,1510422
terroso,cuero,piedra,cereza,frambuesa,fruta seca,chocolate,nuez moscada,,3761150
cereza,frambuesa,fresa,hongo,piedra,aceite balsámico,roble,mantequilla,canela,1169302
ciruela,mora,casis,roble,tabaco,vainilla,cuero,terroso,humo,1207513
ciruela,cereza negra, ,vainilla,tabaco,roble,cereza,frutos rojos,nuez negra,6575008
roble,vainilla,chocolate,ciruela,fruta negra,mora,frutos rojos,cereza,tofi,1219886
roble,vainilla,tabaco,cereza,frutos rojos,tofi,pimienta,tomillo,carne,1227450
cereza,frambuesa,fruta seca,roble,vainilla,chocolate,ciruela,mora,cereza Bing,72694
vainilla,roble,clavo de olor,cuero,terroso,,canela,anís,cigarro,10200745
roble,vainilla,chocolate,cereza,frutos rojos,tofi,ciruela,cereza negra, ,97287
roble,caramelo,chocolate,cuero,piedra,,cereza negra,mora,arándano,4625761
roble,vainilla,chocolate,cereza,fresa,frutos rojos,ciruela,mora,cereza Bing,3189987
cereza,frambuesa,cereza,tabaco,roble,vainilla,mora,ciruela,cereza Bing,1303563
cereza negra,mora,frambuesa,cuero,terroso,grafito,roble,chocolate,vainilla,1147980
tabaco,mantequilla,café,humo,terroso,,frutos rojos,,,1510657
vainilla,roble,,cereza,grosella roja, ,pimienta,,,1921218
mora,casis,cereza negra,roble,clavo de olor,mora,frambuesa,frutos rojos,,9379556
frambuesa,cereza,fruta seca,terroso,cuero,tiza,mermelada,arándano,fresa,8051624
cereza,frutos rojos,uva,terroso,suelo del bosque,,frutos del bosque,ciruela,,2062880
roble,vainilla,tabaco,mora,cereza negra,casis,cuero,terroso,humo,1506019
cereza,frambuesa,fruta seca,ciruela,mora,cereza Bing,terroso,suelo del bosque,,1296812
mora,ciruela,arándano,roble,vainilla,chocolate,cereza,frambuesa,fruta seca,1743262
cedro,roble,vainilla,fruta negra,mora,ciruela,cuero,virutas,,86384
roble,tabaco,vainilla,ciruela,casis,cereza,cuero,terroso,minerales,1452655
frutos rojos,,,polvo de vainilla,,,polvo de vainilla,,,1248857
roble,tabaco,,humo,terroso,cuero,ciruela,cereza negra, ,5989120
frutos rojos,cereza,tofi,roble,vainilla,tabaco,ciruela,cereza negra, ,1290236
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,1179814
cereza,fresa,frutos rojos,roble,tabaco,vainilla,terroso,cuero,humo,3953830
chocolate,roble,vainilla,mora,ciruela,fruta negra,cuero,terroso,humo,71344
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,11172835
roble,vainilla,chocolate,casis,mora,ciruela,terroso,cuero,humo,1444722
roble,tabaco,vainilla,cuero,terroso,humo,mora,cereza negra,ciruela,82719
cereza negra,mora,ciruela,roble,tabaco,vainilla,terroso,,,7868223
frutos rojos,cereza,rosa seca,fruta negra,mora,ciruela,aceite balsámico,carne,,1149733
café,chocolate,roble,humo,terroso,cuero,ciruela,mora,frutos rojos,1136515
fresa,cereza,frutos rojos,terroso,suelo del bosque,,roble,vainilla,clavo de olor,6184395
mora,casis,casis,roble,vainilla,tabaco,humo,cuero,terroso,1711728
roble,chocolate,vainilla,cereza,frutos rojos,tofi,ciruela,fruta negra,mora,1667594
casis,mora,ciruela,roble,vainilla,tabaco,humo,cuero,carne de caza,1652222
cereza,frambuesa,fruta seca,roble,cedro,vainilla,cuero,humo,terroso,4014337
cereza,fresa,frambuesa,roble,vainilla,chocolate,terroso,humo,cuero,71354
roble,cedro,caramelo,frutos rojos,cereza,nuez negra,cuero,tiza,terroso,1580257
mora,arándano,ciruela,roble,café,cedro,cereza,cereza roja,fresa,1395013
frambuesa,cereza,fruta seca,arándano,cereza negra,,hierbas secas,tomillo,,1307206
terroso,cuero,humo,roble,cedro,café,casis,frutos del bosque,,1887104
terroso,cuero,minerales,fresa,cereza,frambuesa,fruta negra,mora,zarzamora,7665903
roble,vainilla,chocolate,ciruela,mora,frutos rojos,humo,cuero,terroso,2521525
cereza,fresa,frutos rojos,humo,terroso,grafito,roble,vainilla,chocolate,1555227
fresa,frambuesa,cereza,ciruela,mora,cereza Bing,minerales,terroso,cuero,2467948
terroso,humo,minerales,cereza,frutos rojos,nuez negra,roble,chocolate,chocolate,1686991
cereza,ciruela roja,tofi,frutos del bosque,ceniza,,chocolate,roble,vainilla,5196552
roble,vainilla,tabaco,cereza,frutos rojos,tofi,cuero,terroso,humo,7976
cereza,frutos rojos,rosa seca,cuero,terroso,aceite balsámico,café,roble,vainilla,1646855
roble,vainilla,chocolate,mora,ciruela,cereza Bing,cuero,humo,terroso,1516092
cereza,frambuesa,fruta seca,pimienta,regaliz,hierro,frutos del bosque,ciruela,,3411226
chocolate,tabaco,nuez negra,pimienta,pimienta molida,,mora,frutos del bosque,,1475631
mora,fruta negra,casis,chocolate,vainilla,roble,pimienta,canela,eucalipto,1940658
mora,fruta negra,fruta seca,tabaco,chocolate,cedro,cuero,humo,hongo,1364658
fresa,ciruela roja,cuero,mora,cereza negra,arándano,roble,nuez moscada,,2162746
mora,ciruela,frutos rojos,terroso,cuero,humo,pimienta,regaliz,pimiento,1176685
roble,chocolate,vainilla,mora,ciruela,frutos rojos,terroso,cuero,humo,1176409
cereza,frambuesa,arándano,ciruela,casis,arándano,terroso,cuero,humo,1171388
cereza,frutos rojos,tofi,terroso,cuero,humo,pimienta,canela,menta,1127723
roble,tabaco,vainilla,ciruela,mora,casis,humo,cuero,terroso,1182341
roble,tabaco,vainilla,cuero,terroso,humo,ciruela,casis,mora,1366312
ciruela,mora,fruta negra,roble,café,tabaco,cereza,frambuesa,fruta seca,2570663
ciruela,mora,frutos rojos,roble,vainilla,chocolate,terroso,cuero,humo,1198370
roble,vainilla,chocolate,ciruela,mora,fruta negra,cuero,humo,terroso,6021913
cereza negra,mora,casis,mezcla de especias para vino caliente,,,pimienta,,,1160890
mora,ciruela,casis,roble,chocolate,vainilla,pimienta,eucalipto,roble,1791129
arándano,mora,mermelada,frambuesa,arándano rojo,,chocolate,clavo de olor,,3235302
cereza,frutos rojos,tofi,minerales,hongo,pizarra,roble,vainilla,,6301754
vainilla,salsa de fresa,,granada,grosella roja,,polvo de vainilla,,,3326433
frambuesa,fresa,cereza,clavo de olor,chocolate,,suelo del bosque,cuero,,1685044
roble,cedro,chocolate,mora,cereza negra,aroma,cereza,frambuesa,fruta seca,1839045
roble,vainilla,chocolate,ciruela,frutos del bosque,,cuero,terroso,minerales,1976591
mora,fruta negra,fruta seca,roble,tabaco,vainilla,humo,cuero,terroso,1256926
tabaco,roble,mantequilla,ciruela,arándano,fruta seca,cuero,hongo,carne asada,1400198
cereza,frambuesa,fruta seca,ciruela,mora,fruta negra,terroso,grafito,cuero,1443547
fresa,frutos rojos,fresa,mora,fruta negra,cereza,terroso,minerales,pimiento,3445033
fresa,cereza,arándano,hongo,terroso,suelo del bosque,pimienta,,,2209838
cereza roja,frutos rojos,,minerales,minerales,piedra,menta,algodón de azúcar,,1795149
mora,casis,fruta negra,chocolate,café,chocolate,almendra,sandía,,86159
mora,ciruela,cereza Bing,chocolate,chocolate amargo,,cereza,,,7289843
terroso,humo,cuero,ciruela,fruta negra,mora,roble,tabaco,vainilla,5585004
roble,chocolate,vainilla,cereza,frambuesa,arándano,terroso,aceite balsámico,,94048
roble,café,chocolate,cuero,terroso,hongo,mora,casis,frutos del bosque,1460958
roble,chocolate,cigarro,terroso,cuero,humo,pimienta,regaliz,carne,1815457
cuero,terroso,,fruta negra,,,ciruela pasa,,,2426440
mora,frutos del bosque,,vainilla,roble,tabaco,terroso,cuero,,1900749
cereza,frambuesa,fresa,roble,vainilla,tabaco,cereza negra,ciruela, ,3788625
mora,ciruela,fruta negra,terroso,cuero,suelo del bosque,roble,vainilla,tabaco,736119
mora,casis,cereza negra,cereza,frambuesa,cereza,pimienta,regaliz,tomillo,1168142
fruta negra,,,pasas de uva negras,,,cereza,,,1247060
minerales,humo,cacao,vainilla,roble,café,fruta negra,mora,cereza,1319717
fruta negra,mora,ciruela,roble,chocolate,tabaco,cereza,frutos rojos,tofi,2161628
vainilla,roble,,pimienta,,,casis,casis,,2566384
arándano,,,pimienta,,,roble,,,1496510
roble,vainilla,almizcle,cereza,frutos rojos,rosa seca,mora,ciruela,casis,2038317
pasas de uva negras,,,cereza,,,polvo de vainilla,,,2707997
roble,cedro,vainilla,cereza,,,regaliz,pimienta,,1989112
ciruela,mora,frutos rojos,cuero,humo,terroso,regaliz,pimienta,tomillo,2305925
mora,casis,arándano,roble,mezcla de especias para vino caliente,,pimienta,regaliz,,1536572
ciruela pasa,pasas de uva negras,,cereza,frutos rojos,,cuero,terroso,,1741609
roble,tabaco,clavo de olor,cuero,terroso,carne,canela,regaliz,,1428722
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,1165486
roble,chocolate,tabaco,cacao,cuero,hongo,cereza,,,2133213
frambuesa,fresa,,terroso,,,ciruela,,,2434113
cereza,arándano rojo, ,clavo de olor,café,caucho,terroso,cuero,pizarra,2457632
roble,chocolate,vainilla,casis,mora,ciruela,humo,aceite balsámico, ,1171700
frambuesa,grosella roja,,arándano,,,terroso,,,6133154
roble,vainilla,,ciruela pasa,,,polvo de vainilla,,,4004928
cereza,fresa,frambuesa,terroso,cuero,minerales,roble,vainilla,chocolate,6993659
cuero,terroso,hierro,cereza,frambuesa,fruta seca,roble,tabaco,vainilla,21787
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,7444736
roble,vainilla,chocolate,cereza,cereza roja,fresa,ciruela,mora,casis,2730836
roble,chocolate,tabaco,cuero,minerales,humo,frutos del bosque,fruta seca,,2151059
fresa,frambuesa,frutos rojos,cítrico,pomelo,naranja,mermelada,fruta negra,,1174179
café,roble,chocolate,mora,casis,frutos del bosque,cereza,frutos rojos,,1426186
mora,ciruela,arándano,roble,vainilla,tabaco,terroso,cuero,humo,1670967
vainilla,roble,,ciruela,,,cereza,,,5324961
mora,cereza negra,frambuesa,cuero,terroso,hongo,regaliz,hierbas secas,,5475175
cereza,grosella roja, ,terroso,cuero,,tabaco,cedro,,1220995
cereza,frambuesa,fresa,terroso,cuero,aceite balsámico,roble,tabaco,chocolate,1160954
ciruela,frutos del bosque,,roble,tabaco,cedro,pimienta,pimienta blanca,,5109452
frambuesa,cereza,fresa,aceite balsámico,cuero,,ciruela,mermelada,,1830240
vainilla,roble,chocolate,cereza,frutos rojos,nuez negra,cuero,terroso,humo,7317603
ciruela,mora,arándano,chocolate,vainilla,roble,cuero,terroso,grafito,2813881
roble,chocolate,vainilla,ciruela,mora,frutos rojos,terroso,cuero,minerales,1138333
arándano,frutos del bosque,,vainilla,,,regaliz,,,1779695
roble,vainilla,chocolate,mora,casis,ciruela,cuero,terroso,humo,2144188
mora,fruta negra,ciruela,roble,tabaco,chocolate,cuero,terroso,humo,1681775
mora,ciruela,cereza Bing,roble,mezcla de especias para vino caliente,,cereza,grosella roja, ,79582
cereza,arándano rojo, ,terroso,minerales,cuero,sandía,virutas,pétalo de rosa,1494530
fruta negra,casis,arándano,roble,vainilla,,cacao,cuero,grafito,9085901
terroso,cuero,minerales,mora,fruta negra,cereza,arándano rojo,cereza, ,8910300
ciruela,mora,frutos rojos,terroso,cuero,humo,roble,tabaco,chocolate,23382
roble,vainilla,chocolate,frutos rojos,cereza,tofi,mora,ciruela,casis,1139212
cereza,frutos rojos,uva,terroso,cuero,hongo,roble,tabaco,pimienta,2803053
mora,ciruela,arándano,roble,vainilla,tabaco,cuero,terroso,humo,4384379
arándano rojo,fresa,rosa seca,cuero,sal,alquitrán,roble,,,7665598
cereza negra,mulberry,,cereza,rosa seca,tofi,cuero,minerales,caucho,6981394
tabaco,clavo de olor, ,humo,grafito,aceite balsámico,cereza,frambuesa,cereza,1614947
cereza,frutos rojos,,casis,mora,,chocolate,roble,vainilla,6970560
roble,vainilla,chocolate,mora,casis,fruta negra,cuero,terroso,humo,1247055
ciruela,frutos del bosque,,roble,vainilla,clavo de olor,pimienta,pimienta blanca,,1603565
roble,chocolate amargo,,ciruela,cereza negra, ,cereza,cereza roja,carne,1607617
cereza negra,fruta negra,,terroso,aceite balsámico,,cereza,cereza roja,,5697461
cuero,humo,tarta de fruta,tabaco,vainilla,café,cereza,frambuesa,,85509
mora,casis,fruta negra,roble,chocolate,vainilla,cuero,humo,terroso,9690747
cedro,cigarro,clavo de olor,fruta negra,mora,casis,polvo de vainilla,,,1921723
cereza,frutos rojos,nuez negra,roble,chocolate,tabaco,cuero,terroso,humo,1235958
polvo de vainilla,,,polvo de vainilla,,,polvo de vainilla,,,5453054
frutos rojos,cereza,tofi,fruta negra,mora,ciruela,roble,chocolate,,2306411
roble,tabaco,cedro,frutos rojos,cereza,nuez negra,mora,casis,frutos del bosque,1552608
cereza,,,polvo de vainilla,,,polvo de vainilla,,,11366856
tabaco,roble,cedro,frutos del bosque,casis,,cuero,terroso,jengibre,1171309
vainilla,roble,tabaco,cereza,frutos rojos,tofi,ciruela,casis,casis,5364714
