,Precio,País_encoded,roble,cuero,polvo de vainilla,cereza,Ligero/Poderoso,Carneadobada,Seco/Dulce,NerelloMascalese,chocolate,Montepulciano,Cerdo,Quesodelechedecabra
0,0.011800672496985307,0.5572015010562748,0.0,1.0,0.0,1.0,0.5529411764705883,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0
1,0.0004365032124471957,0.2618128191556792,1.0,1.0,0.0,0.0,0.9647058823529411,0.0,0.24193548387096775,0.0,1.0,0.0,0.0,0.0
2,0.00014134702070979816,0.2618128191556792,1.0,0.0,0.0,1.0,0.6470588235294118,0.0,0.25806451612903225,0.0,1.0,0.0,0.0,0.0
3,0.0013882179551382265,0.3053497046827669,1.0,0.0,0.0,1.0,0.23529411764705882,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0
4,0.00135542282272296,0.46923927943539745,1.0,1.0,0.0,1.0,0.5647058823529412,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0
5,0.0006162205380828556,0.46923927943539745,1.0,1.0,0.0,0.0,0.7058823529411764,0.0,0.1935483870967742,0.0,1.0,0.0,0.0,0.0
6,0.0011747216431148423,0.2618128191556792,1.0,1.0,0.0,1.0,0.7176470588235293,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0
7,0.0007355948200744253,0.46923927943539745,0.0,0.0,0.0,1.0,0.6470588235294118,0.0,0.1774193548387097,0.0,1.0,0.0,0.0,0.0
8,0.002618035420710716,0.5572015010562748,1.0,1.0,0.0,0.0,0.5176470588235295,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0
9,0.002374695538189439,0.5572015010562748,1.0,1.0,0.0,1.0,0.5058823529411764,0.0,0.1129032258064516,0.0,0.0,0.0,0.0,0.0
10,0.0014800443259009722,0.46923927943539745,0.0,0.0,0.0,1.0,1.0,0.0,0.8064516129032258,0.0,1.0,0.0,0.0,0.0
11,0.004241394475266403,0.5572015010562748,1.0,0.0,0.0,0.0,0.5411764705882353,0.0,0.30645161290322576,0.0,1.0,0.0,0.0,0.0
12,0.0007372345766951885,0.2618128191556792,1.0,1.0,0.0,0.0,1.0,0.0,0.16129032258064516,0.0,1.0,0.0,0.0,0.0
13,0.0003492681602225871,0.46923927943539745,0.0,0.0,1.0,0.0,0.7058823529411764,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0
14,0.0013718203889305932,0.41947715063094826,1.0,1.0,0.0,0.0,0.7529411764705882,0.0,0.20967741935483872,0.0,0.0,0.0,0.0,0.0
15,0.0005804738437502152,0.5572015010562748,1.0,1.0,0.0,0.0,0.788235294117647,0.0,0.0967741935483871,0.0,1.0,0.0,0.0,0.0
16,0.0013026226595343811,0.5572015010562748,0.0,1.0,0.0,1.0,0.5882352941176471,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0
17,0.0002118565554026209,0.2618128191556792,1.0,1.0,0.0,0.0,0.611764705882353,0.0,0.1774193548387097,0.0,0.0,0.0,0.0,0.0
18,0.0010983089845872714,0.5572015010562748,0.0,1.0,0.0,1.0,0.4235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.000610973316896413,0.46923927943539745,0.0,1.0,0.0,1.0,0.6588235294117647,0.0,0.2258064516129032,0.0,0.0,0.0,1.0,0.0
20,0.0016827182442273186,0.5572015010562748,0.0,0.0,1.0,0.0,0.16470588235294117,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21,0.002027723037235921,0.2618128191556792,1.0,1.0,0.0,1.0,0.776470588235294,0.0,0.08064516129032258,0.0,0.0,0.0,0.0,0.0
