,Aves,Carneadobada,Carnedecaza,Cerdo,Champiñones,Comidapicante,Cordero,Desconocido,Lacomidabasuravale,Maridajes,Nodisponible,Pasta,Pescadoazul,Pescadoblanco,Quesoazul,Quesocurado,Quesodelechedecabra,Quesotiernoycremoso,Ternera,Terneralechal,Vegetariana,ID
63,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,2482573
64,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2607289
65,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,11219770
66,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4152841
67,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6335734
68,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1186203
69,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4314456
70,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7710248
71,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1494577
72,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,9231538
73,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1175424
74,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,7804248
75,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1175531
76,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,11014675
77,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,8743487
78,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,9164546
79,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,5766586
80,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10211715
81,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1141287
82,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1834632
83,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2116813
84,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1675434
85,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,13371
86,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,7383505
87,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1879204
88,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,6232586
89,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8436799
90,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,10958965
91,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1261039
92,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2107258
93,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,18799
94,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,7395823
95,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1219699
96,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,9497762
97,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,7105940
98,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1881912
99,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1179465
100,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1181447
101,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1123194
102,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1420652
103,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2475833
104,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,79640
105,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1101307
106,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1150701
107,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1211200
108,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1546843
109,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2620585
110,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2877909
111,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1696434
112,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1192767
113,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1223680
114,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,10536094
115,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,10918470
116,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1145899
117,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,5666325
118,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,72634
119,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1784146
120,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,9662418
121,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,5850200
122,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7436539
123,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2005984
124,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3810641
125,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2013852
126,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2580005
127,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,8122074
128,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,779238
129,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1824076
130,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1984066
131,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,7783134
132,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1239077
133,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,11777262
134,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1728951
135,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1203251
136,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1523831
137,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1586861
138,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,10182075
139,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,84862
140,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1158112
141,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,9823185
142,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,8990836
143,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1200283
144,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,12072602
145,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,4607101
